Keyword,immediate-early,#,    ,early,#,    ,late,#,    ,latent,#,    ,immediate-early (%),early (%),late (%),latent (%)
f5hc97_p16790_ul44,9.41,20,,34.96,35,,25.76,27,,3.46,3,,12.79,47.51,35.01,4.70
f5hgq8_ul138,22.50,19,,0.64,4,,0.67,3,,16.18,23,,56.27,1.61,1.66,40.46
f5hi87_p13200_ul99,9.59,9,,5.12,10,,20.60,22,,0.20,1,,27.01,14.43,58.00,0.56
p06725_p18139_q6sw59_ul83,20.23,10,,2.35,8,,6.46,9,,0.00,0,,69.67,8.08,22.25,0.00
p06434_p06435_p19893_q6sw29_q6swp7_ul122,18.93,23,,4.04,6,,0.36,2,,0.12,1,,80.71,17.21,1.54,0.53
f5hgt1_mcp_p16729_ul86,2.86,7,,5.31,10,,18.66,15,,0.00,0,,10.64,19.81,69.55,0.00
f5hf62_p69332_p69333_us28,14.24,15,,9.22,14,,10.33,9,,18.09,14,,27.45,17.76,19.91,34.87
f5hcm1_p03169_p13202_ul123,17.69,32,,2.89,8,,2.88,6,,0.20,2,,74.78,12.21,12.16,0.85
p08546_q6sw77_ul54,5.64,13,,12.26,16,,7.20,11,,0.00,0,,22.47,48.86,28.67,0.00
b9vxk4_f5hc16_p16812_ul34,1.27,1,,7.50,2,,12.13,2,,0.00,0,,6.07,35.88,58.05,0.00
p09727_q6svz5_q8uzk5_us11,9.37,10,,3.11,8,,5.88,8,,0.14,1,,50.63,16.83,31.78,0.77
p08318_q6sw99_ul32,2.09,4,,1.54,4,,7.09,5,,0.00,0,,19.51,14.33,66.16,0.00
f5hb40_p16727_p29839_ul84,1.62,3,,6.89,5,,1.39,3,,5.93,2,,10.22,43.56,8.77,37.45
p16782_q6sw87_ul45,0.00,0,,0.00,0,,5.54,3,,0.00,0,,0.00,0.00,100.00,0.00
b9vxd7_f5heu0_p09712_us3,5.25,10,,2.48,9,,1.68,6,,0.00,0,,55.81,26.35,17.84,0.00
c0h677_p16764_q6swa3_ul29,1.73,5,,4.97,7,,0.00,0,,0.00,0,,25.85,74.15,0.00,0.00
f5hac7_p16800_ul94,0.69,1,,0.42,3,,4.83,5,,0.00,0,,11.67,7.10,81.23,0.00
p16778_q6sw94_ul37,4.18,9,,0.73,4,,0.72,3,,0.24,1,,71.21,12.42,12.24,4.13
irs1_p09715_q6sw04,2.43,5,,4.17,3,,1.28,3,,0.00,0,,30.87,52.85,16.28,0.00
d5lx59_p16785_q6sw84_ul48,1.64,3,,0.12,1,,3.86,3,,0.00,0,,29.24,2.22,68.54,0.00
f5hdc7_p09722_us22,0.87,2,,3.79,5,,0.00,0,,0.00,0,,18.60,81.40,0.00,0.00
f5hg68_p16757_ul16,0.20,1,,2.69,5,,3.77,2,,0.00,0,,3.00,40.46,56.54,0.00
p16730_q6sw55_ul87,0.00,0,,1.12,2,,3.73,5,,1.60,2,,0.00,17.31,57.83,24.86
f5hay6_p16767_ul36,3.56,9,,3.41,11,,2.43,6,,0.00,0,,37.87,36.26,25.87,0.00
f5hb53_p06473_p13201_ul55,0.45,3,,0.10,1,,3.55,5,,0.00,0,,10.98,2.44,86.58,0.00
f5hc71_p17150_ul111a,0.85,1,,0.00,0,,0.20,1,,3.54,8,,18.50,0.00,4.35,77.14
dbp_f5hdq6_p17147_ul57,0.17,1,,3.40,7,,3.36,5,,0.00,0,,2.41,49.11,48.49,0.00
f5ha93_p16783_ul46,0.82,2,,0.77,2,,3.17,4,,0.00,0,,17.20,16.12,66.67,0.00
p09695_q6svx2_trs1,3.04,4,,0.41,3,,0.45,3,,0.12,1,,75.57,10.21,11.11,3.11
f5he05_p09713_p60503_us2,2.96,9,,2.95,8,,0.22,2,,0.11,1,,47.47,47.19,3.56,1.78
f5hfj7_p09728_us10,0.00,0,,0.23,1,,2.93,2,,0.00,0,,0.00,7.12,92.88,0.00
f5ham0_q68396_ul144,0.34,2,,2.03,3,,0.10,1,,2.79,3,,6.39,38.65,1.90,53.06
f5het1_p16751_ul78,0.12,1,,2.77,4,,0.77,3,,0.20,1,,3.24,71.68,19.90,5.18
f5hgc2_p16765_ul30,2.76,5,,1.70,5,,1.20,3,,0.20,1,,47.11,28.99,20.49,3.41
p09714_q6sw03_us1,0.92,4,,2.74,2,,0.11,1,,0.00,0,,24.40,72.66,2.94,0.00
p14334_p60528_q6sw00_us6,0.85,4,,2.71,6,,2.18,2,,0.00,0,,14.81,47.25,37.94,0.00
f5hgg3_p16762_ul26,1.21,5,,2.62,2,,1.12,4,,0.00,0,,24.48,53.00,22.52,0.00
d5lx53_f5hhz3_p16815_ul42,1.23,1,,2.59,4,,0.64,1,,0.00,0,,27.62,57.98,14.40,0.00
f5hg98_p16779_ul38,0.70,2,,2.54,3,,0.63,3,,0.00,0,,18.06,65.57,16.37,0.00
f5hdk1_p09703_us27,0.00,0,,1.12,3,,2.28,6,,0.17,1,,0.00,31.52,63.81,4.67
p16786_q6sw82_ul49,0.62,2,,2.27,5,,1.04,1,,0.00,0,,15.73,57.76,26.52,0.00
f5hbc6_p06726_p24429_ul82,2.15,5,,1.06,2,,1.62,1,,0.33,1,,41.62,20.50,31.44,6.45
p12824_p17176_q6sw67_ul75,0.38,2,,0.39,2,,2.07,6,,0.00,0,,13.19,13.82,72.99,0.00
f5hc33_p09729_us9,0.00,0,,1.83,3,,0.72,4,,0.00,0,,0.00,71.78,28.22,0.00
f5hi85_p16769_ul114,0.00,0,,1.82,3,,0.48,2,,0.00,0,,0.00,79.27,20.73,0.00
p16848_q6swa0_ul31,0.00,0,,0.47,2,,1.79,2,,0.00,0,,0.00,20.71,79.29,0.00
b9vxq2_p16801_q6sw48_ul95,0.11,1,,0.33,1,,1.27,2,,1.79,1,,3.17,9.52,36.32,50.99
p16749_q6sw73_ul69,0.77,3,,1.74,2,,0.79,1,,0.10,1,,22.54,51.24,23.28,2.94
q6sw10_ul133,0.69,2,,0.14,1,,0.43,1,,1.69,6,,23.30,4.83,14.66,57.21
f5hfa5_p16770_ul117,0.00,0,,1.38,3,,1.69,2,,0.00,0,,0.00,44.97,55.03,0.00
p16720_q6swc4_ul6,0.00,0,,0.31,1,,1.67,3,,0.00,0,,0.00,15.66,84.34,0.00
p16725_q6sw66_ul76,0.64,3,,1.52,3,,1.10,3,,0.10,1,,19.05,45.17,32.80,2.98
f5hdm3_p16846_ul23,0.79,3,,1.51,4,,0.29,2,,0.00,0,,30.37,58.35,11.27,0.00
p16763_q6swa4_ul27,0.75,3,,0.54,3,,1.36,2,,0.00,0,,28.26,20.45,51.29,0.00
f5haq7_q6swm9_ul135,0.35,2,,0.27,2,,0.00,0,,1.33,7,,17.99,13.71,0.00,68.31
p16791_q6sw81_ul50,0.10,1,,0.20,1,,1.28,4,,1.23,1,,3.55,7.10,45.57,43.78
p16755_q6swb8_ul13,0.68,2,,1.23,2,,1.27,2,,0.48,1,,18.54,33.72,34.68,13.05
f5hfb4_p08560_ul18,0.00,0,,1.26,5,,0.56,3,,0.00,0,,0.00,69.18,30.82,0.00
p16788_q68101_q6sw46_ul97,1.03,4,,1.16,6,,1.24,3,,0.00,0,,29.92,33.84,36.23,0.00
p16743_q6swc3_ul7,1.20,4,,0.34,1,,0.75,1,,0.93,3,,37.28,10.64,23.28,28.80
p16771_ul127,0.00,0,,1.20,2,,0.00,0,,0.10,1,,0.00,92.31,0.00,7.69
p16752_q6sw63_ul79,0.00,0,,0.11,1,,1.18,2,,0.63,1,,0.00,5.80,61.38,32.82
p16849_q6sw98_ul33,0.00,0,,1.08,3,,0.88,3,,0.25,1,,0.00,49.06,39.62,11.32
p16793_q6sw79_ul52,0.24,1,,0.22,2,,1.06,2,,0.75,1,,10.69,9.78,46.71,32.82
f5hf35_q6swn0_ul136,0.21,1,,0.28,2,,0.14,1,,1.05,2,,12.54,16.49,8.48,62.49
p16726_q6sw65_ul77,0.40,1,,1.04,2,,0.39,2,,0.00,0,,21.80,56.78,21.41,0.00
p16780_q6sw92_ul40,0.11,1,,1.04,1,,0.00,0,,0.25,1,,7.92,74.26,0.00,17.82
f5hfj8_p16797_ul91,0.00,0,,0.00,0,,1.03,1,,0.00,0,,0.00,0.00,100.00,0.00
f5he44_p09721_us12,1.00,1,,0.25,1,,0.00,0,,0.00,0,,80.00,20.00,0.00,0.00
f5hhh2_ul142,0.00,0,,0.33,2,,0.97,3,,0.12,1,,0.00,22.92,68.26,8.82
f5het4_ul131a,0.17,1,,0.96,2,,0.25,1,,0.00,0,,12.12,69.70,18.18,0.00
f5hc79_p16724_ul56,0.00,0,,0.00,0,,0.93,2,,0.00,0,,0.00,0.00,100.00,0.00
f5hfz4_p16794_ul53,0.00,0,,0.10,1,,0.85,3,,0.00,0,,0.00,10.53,89.47,0.00
p16814_ul41,0.74,4,,0.11,1,,0.70,2,,0.00,0,,47.80,7.15,45.05,0.00
f5hgj4_p16761_ul25,0.43,2,,0.72,3,,0.50,2,,0.00,0,,26.17,43.62,30.20,0.00
f5hen7_q7m6n6_scp,0.71,1,,0.00,0,,0.67,2,,0.00,0,,51.61,0.00,48.39,0.00
q6swc9_rl13,0.11,1,,0.66,1,,0.11,1,,0.00,0,,12.62,74.76,12.62,0.00
f5he12_p16766_ul35,0.46,2,,0.64,3,,0.37,2,,0.00,0,,31.17,43.82,25.01,0.00
f5hf90_p16845_ul22a,0.62,2,,0.35,1,,0.36,2,,0.10,1,,43.52,24.37,25.15,6.96
p16837_ul128_v9llx6,0.62,2,,0.20,2,,0.00,0,,0.00,0,,75.76,24.24,0.00,0.00
p16776_q6swc5_ul5,0.10,1,,0.61,1,,0.35,1,,0.00,0,,9.45,57.74,32.81,0.00
p16847_ul28,0.60,2,,0.17,1,,0.00,0,,0.50,1,,47.26,13.13,0.00,39.61
f5has7_p16798_ul92,0.00,0,,0.00,0,,0.59,1,,0.00,0,,0.00,0.00,100.00,0.00
p16813_ul39,0.11,1,,0.56,3,,0.11,1,,0.00,0,,14.21,71.57,14.21,0.00
f5hb52_p09730_us8,0.11,1,,0.00,0,,0.50,1,,0.00,0,,18.18,0.00,81.82,0.00
q6rjq3_ul141,0.17,1,,0.31,2,,0.50,1,,0.11,1,,15.31,28.57,45.92,10.20
p16796_ul90,0.00,0,,0.00,0,,0.50,1,,0.00,0,,0.00,0.00,100.00,0.00
q6swd3_rl6,0.00,0,,0.00,0,,0.50,1,,0.00,0,,0.00,0.00,100.00,0.00
p16840_q6rxc1_us5,0.00,0,,0.00,0,,0.50,1,,0.00,0,,0.00,0.00,100.00,0.00
f5hh39_q7m6r1_ul21a,0.11,1,,0.14,1,,0.50,3,,0.00,0,,14.80,19.03,66.17,0.00
p16740_q6sw31_ul120,0.49,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hcu8_p16732_ul89,0.00,0,,0.00,0,,0.44,1,,0.00,0,,0.00,0.00,100.00,0.00
p16825_ul81,0.00,0,,0.00,0,,0.00,0,,0.43,1,,0.00,0.00,0.00,100.00
f5hht6_p09723_us21,0.00,0,,0.00,0,,0.00,0,,0.38,1,,0.00,0.00,0.00,100.00
f5h9t4_p16745_ul9,0.36,2,,0.27,1,,0.00,0,,0.00,0,,57.52,42.48,0.00,0.00
f5hbx1_ul146,0.00,0,,0.33,1,,0.36,1,,0.17,1,,0.00,38.71,41.94,19.35
f5he69_p69334_p69335_us18,0.34,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16839_us4,0.33,1,,0.28,2,,0.00,0,,0.00,0,,54.55,45.45,0.00,0.00
f5hd27_p16741_ul121,0.33,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16817_ul60,0.00,0,,0.00,0,,0.33,1,,0.00,0,,0.00,0.00,100.00,0.00
f5hgi9_p16792_ul51,0.11,1,,0.00,0,,0.33,1,,0.00,0,,25.00,0.00,75.00,0.00
f5hen8_p16736_ul105,0.33,1,,0.14,1,,0.17,1,,0.00,0,,51.85,22.22,25.93,0.00
p16777_ul12,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p16721_q6swb9_ul11,0.00,0,,0.33,1,,0.10,1,,0.00,0,,0.00,76.92,23.08,0.00
p16835_ul125,0.00,0,,0.00,0,,0.00,0,,0.33,1,,0.00,0.00,0.00,100.00
f5hbr4_p16735_ul104,0.00,0,,0.00,0,,0.33,1,,0.00,0,,0.00,0.00,100.00,0.00
f5h8s6_p09700_us24,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5ha10_p16734_ul103,0.00,0,,0.28,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f7v999_us33a,0.12,1,,0.25,1,,0.00,0,,0.00,0,,33.33,66.67,0.00,0.00
q6swd5_rl1,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5haz3_p09701_us23,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
q6swd1_rl11,0.10,1,,0.24,1,,0.00,0,,0.00,0,,29.17,70.83,0.00,0.00
f5hi68_p16723_ul19,0.17,1,,0.24,2,,0.20,1,,0.00,0,,27.65,39.17,33.18,0.00
p17146_p17175_q6swc6_ul4,0.11,1,,0.00,0,,0.23,1,,0.00,0,,33.06,0.00,66.94,0.00
p16781_q6sw89_ul43,0.21,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hig1_p16827_ul102,0.00,0,,0.12,1,,0.20,1,,0.00,0,,0.00,38.46,61.54,0.00
f5hhs3_p16742_ul124,0.00,0,,0.00,0,,0.17,1,,0.20,1,,0.00,0.00,45.45,54.55
p16756_q6swb7_ul14,0.20,1,,0.00,0,,0.00,0,,0.20,1,,50.00,0.00,0.00,50.00
p16773_ul131,0.00,0,,0.00,0,,0.20,1,,0.00,0,,0.00,0.00,100.00,0.00
f5hg95_p09705_us29,0.00,0,,0.00,0,,0.20,1,,0.00,0,,0.00,0.00,100.00,0.00
f5h9n4_p16760_ul24,0.12,1,,0.14,1,,0.20,1,,0.14,1,,20.47,23.39,32.75,23.39
b9vxi8_f5hht4_p16722_ul17,0.20,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
b9vxm8_f5hg51_p17149_ul70,0.00,0,,0.17,1,,0.14,1,,0.00,0,,0.00,53.85,46.15,0.00
f5h9n9_p09716_us17,0.00,0,,0.00,0,,0.00,0,,0.17,1,,0.00,0.00,0.00,100.00
f5ha06_q6swn9_ul147,0.00,0,,0.00,0,,0.17,1,,0.00,0,,0.00,0.00,100.00,0.00
q6sw14_ul139,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16737_ul106,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16719_q6swc8_ul1,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16784_q6sw85_ul47,0.12,1,,0.11,1,,0.10,1,,0.00,0,,37.19,33.06,29.75,0.00
p16775_ul3,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16824_q6sw70_ul72,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16843_q6swc0_ul10,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16753_q6sw62_ul80,0.00,0,,0.00,0,,0.12,1,,0.00,0,,0.00,0.00,100.00,0.00
f5hcp3_p16772_ul130,0.00,0,,0.11,1,,0.10,1,,0.00,0,,0.00,52.63,47.37,0.00
f5h8q3_ul148,0.00,0,,0.11,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5hhl7_ul148d,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16759_ul21,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hgu6_p69338_p69339_ul132,0.00,0,,0.00,0,,0.10,1,,0.00,0,,0.00,0.00,100.00,0.00
